,model,score,std,group_score,groups_std,group_log_score,groups_log_std
0,XGBRegressor,100.0,0.0,0.2068948785987661,0.15551223168933723,100,0
1,XGBRegressor_local,100.0,0.0,0.1942726262096795,0.12988091594647388,100,0
2,LassoPipe,100.0,0.0,0.2252536895866866,0.16560321086094104,100,0
3,GradientBoostingRegressor,100.0,0.0,0.1875839105438314,0.11584217404495699,100,0
4,GradientBoostingRegressor_3107_trees,100.0,0.0,0.19821541711219812,0.106309089558483,100,0
5,RandomForestRegressor,100.0,0.0,0.2259555811245677,0.16831561425634628,100,0
6,DecisionTreeRegressor,100.0,0.0,0.1902088000814026,0.1599804275399141,100,0
7,HistGradientBoostingRegressor,100.0,0.0,0.18335695590711606,0.1145345584901251,100,0
8,HistGradientBoostingRegressor_3107_trees,100.0,0.0,0.19932840679292513,0.10309659837419202,100,0
9,LGBMRegressor,100.0,0.0,0.24112733456112212,0.13252744930757063,100,0
10,LGBMRegressor_3107_trees,100.0,0.0,0.27191459137669366,0.28313270582101463,100,0
