row,tree_id,plot,type
1,1,401,pepper
10,13,401,pepper
1,2,402,pepper
10,12,402,pepper
1,3,403,pepper
10,11,403,pepper
1,4,404,pepper
10,10,404,pepper
1,5,405,pepper
10,9,405,pepper
1,6,406,pepper
10,8,406,pepper
1,7,407,pepper
10,7,407,pepper
1,8,408,pepper
10,6,408,pepper
1,9,409,pepper
10,5,409,pepper
1,10,410,pepper
10,4,410,pepper
1,11,414,pepper
10,3,414,pepper
1,12,416,pepper
10,2,416,pepper
1,13,417,pepper
10,1,417,pepper
2,13,418,pepper
9,1,418,pepper
2,12,419,pepper
9,2,419,pepper
2,11,420,pepper
9,3,420,pepper
2,10,421,pepper
9,4,421,pepper
2,9,422,pepper
9,5,422,pepper
2,8,424,pepper
9,6,424,pepper
2,7,426,pepper
9,7,426,pepper
2,6,427,pepper
9,8,427,pepper
2,5,428,pepper
9,9,428,pepper
2,4,901,pepper
9,10,901,pepper
2,3,902,pepper
9,11,902,pepper
2,2,903,pepper
9,12,903,pepper
2,1,904,pepper
9,13,904,pepper
3,1,909,pepper
8,13,909,pepper
3,2,910,pepper
8,12,910,pepper
3,3,911,pepper
8,11,911,pepper
3,4,912,pepper
8,10,912,pepper
3,5,913,pepper
8,9,913,pepper
3,6,914,pepper
8,8,914,pepper
3,7,915,pepper
8,7,915,pepper
3,8,916,pepper
8,6,916,pepper
3,9,917,pepper
8,5,917,pepper
3,10,918,pepper
8,4,918,pepper
3,11,919,pepper
8,3,919,pepper
3,12,920,pepper
8,2,920,pepper
3,13,921,pepper
8,1,921,pepper
4,13,922,pepper
7,1,922,pepper
4,12,923,pepper
7,2,923,pepper
4,11,924,pepper
7,3,924,pepper
4,10,925,pepper
7,4,925,pepper
4,9,926,pepper
7,5,926,pepper
4,8,927,pepper
7,6,927,pepper
4,7,928,pepper
7,7,928,pepper
4,6,929,pepper
7,8,929,pepper
4,5,930,pepper
7,9,930,pepper
4,4,931,pepper
7,10,931,pepper
4,3,932,pepper
7,11,932,pepper
4,2,933,pepper
7,12,933,pepper
4,1,934,pepper
7,13,934,pepper
5,1,935,pepper
6,2,935,pepper
5,2,936,pepper
6,1,936,pepper
20,1,22I.000201,tomato
20,2,22I.000202,tomato
20,3,22I.000203,tomato
20,4,22I.000204,tomato
20,5,22I.000205,tomato
20,6,22I.000206,tomato
20,7,22I.000207,tomato
20,8,22I.000208,tomato
21,8,22I.000201,tomato
21,7,22I.000202,tomato
21,6,22I.000203,tomato
21,5,22I.000204,tomato
21,4,22I.000205,tomato
21,3,22I.000206,tomato
21,2,22I.000207,tomato
21,1,22I.000208,tomato
18,1,22I.000209,tomato
18,2,22I.000210,tomato
18,3,22I.000211,tomato
18,4,22I.000212,tomato
18,5,22I.000213,tomato
18,6,22I.000214,tomato
18,7,22I.000215,tomato
18,8,22I.000216,tomato
19,8,22I.000209,tomato
19,7,22I.000210,tomato
19,6,22I.000211,tomato
19,5,22I.000212,tomato
19,4,22I.000213,tomato
19,3,22I.000214,tomato
19,2,22I.000215,tomato
19,1,22I.000216,tomato
7,1,22R.000251,tomato
7,2,22R.000252,tomato
7,3,22R.000253,tomato
7,4,22R.000254,tomato
7,5,22R.000255,tomato
7,6,22R.000256,tomato
7,7,22R.000257,tomato
7,8,22R.000258,tomato
7,9,22R.000259,tomato
7,10,22R.000260,tomato
7,11,22R.000261,tomato
7,12,22R.000262,tomato
8,12,22R.000251,tomato
8,11,22R.000252,tomato
8,10,22R.000253,tomato
8,9,22R.000254,tomato
8,8,22R.000255,tomato
8,7,22R.000256,tomato
8,6,22R.000257,tomato
8,5,22R.000258,tomato
8,4,22R.000259,tomato
8,3,22R.000260,tomato
8,2,22R.000261,tomato
8,1,22R.000262,tomato
11,1,22R.000263,tomato
11,2,22R.000264,tomato
11,3,22R.000265,tomato
11,4,22R.000266,tomato
11,5,22R.000267,tomato
11,6,22R.000268,tomato
11,7,22R.000269,tomato
11,8,22R.000270,tomato
11,9,22R.000271,tomato
11,10,22R.000272,tomato
11,11,22R.000273,tomato
11,12,22R.000274,tomato
11,13,22R.000275,tomato
11,14,22R.000276,tomato
11,15,22R.000277,tomato
10,15,22R.000263,tomato
10,14,22R.000264,tomato
10,13,22R.000265,tomato
10,12,22R.000266,tomato
10,11,22R.000267,tomato
10,10,22R.000268,tomato
10,9,22R.000269,tomato
10,8,22R.000270,tomato
10,7,22R.000271,tomato
10,6,22R.000272,tomato
10,5,22R.000273,tomato
10,4,22R.000274,tomato
10,3,22R.000275,tomato
10,2,22R.000276,tomato
10,1,22R.000277,tomato
9,1,22R.000278,tomato
9,2,22R.000279,tomato
9,3,22R.000280,tomato
9,4,22R.000281,tomato
9,5,22R.000282,tomato
9,6,22R.000283,tomato
9,7,22R.000284,tomato
9,8,22R.000285,tomato
9,9,22R.000286,tomato
9,10,22R.000287,tomato
9,11,22R.000288,tomato
9,12,22R.000289,tomato
9,13,22R.000290,tomato
1,1,GAM27,tomato
2,1,GAM27,tomato
16,1,GAM27,tomato
17,1,GAM27,tomato
3,1,GAM29,tomato
4,1,GAM29,tomato
14,1,GAM29,tomato
15,1,GAM29,tomato
5,1,GAM31,tomato
6,1,GAM31,tomato
13,1,GAM31,tomato
12,1,GAM31,tomato
30,1,FOL1_0,tomato
30,2,nFOL1_0,tomato
30,3,FOL2_0,tomato
30,4,nFOL2_0,tomato
31,1,FOL1_20,tomato
31,2,nFOL1_20,tomato
31,3,FOL2_20,tomato
31,4,nFOL2_20,tomato

